target_lens,checkpoint_lens,model,within_auc,cross_auc,auc_change_cross_minus_within,within_ap,cross_ap,within_threshold_1e3,cross_threshold_1e3,within_achieved_fpp,cross_achieved_fpp,within_efficiency,cross_efficiency,efficiency_change_cross_minus_within,efficiency_change_ci
SIS,PM,pi_resnet,0.9887691085714285,0.9895114628571429,0.0007423542857143417,0.800116653506431,0.7003339228405712,0.9981431716530528,0.9999699183984226,0.00085,0.00105,0.5354285714285715,0.22057142857142858,-0.3148571428571429,"[-0.34514285714285714, -0.2874285714285714]"
SIS,PM,cqt_deit,0.9788891857142856,0.9727487742857143,-0.006140411428571357,0.6776895427855766,0.5782195101991938,0.9569708,0.95583427,0.00072,0.00135,0.3274285714285714,0.29828571428571427,-0.029142857142857137,"[-0.047442857142857134, -0.011428571428571429]"
PM,SIS,pi_resnet,0.9852196085714287,0.9821073314285714,-0.0031122771428572227,0.6877096482761246,0.7266843327359374,0.9999204273671976,0.9992272228452972,0.00063,0.00074,0.22742857142857142,0.3977142857142857,0.17028571428571426,"[0.15485714285714286, 0.18742857142857142]"
PM,SIS,cqt_deit,0.9608897114285715,0.9675968514285714,0.006707139999999945,0.46934673883065825,0.567070837615367,0.9579664,0.95496345,0.00085,0.00115,0.17257142857142857,0.2805714285714286,0.10800000000000001,"[0.08914285714285715, 0.124]"
