epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.6845841073989868,0.588,0.6293143925666809,0.659,0.74476,5e-05
2,0.6472832567691803,0.62725,0.6386758890151978,0.649,0.7357360000000001,4.999865664945505e-05
3,0.6484589419364929,0.61825,0.6090329089164734,0.674,0.7437720000000001,4.999462674513372e-05
4,0.6420144236087799,0.641,0.6106503677368164,0.67,0.7580359999999999,4.998791072896043e-05
5,0.6151902229785919,0.67075,0.7205802884101867,0.604,0.7896839999999998,4.997850933742203e-05
6,0.5690031061172486,0.74625,0.5076062917709351,0.796,0.885328,4.996642360148706e-05
7,0.5315986607074737,0.777,0.5141151933670044,0.789,0.9043279999999999,4.9951654846492654e-05
8,0.5058827908039093,0.79875,0.4653990044593811,0.823,0.909788,4.993420469199922e-05
9,0.4984541292190552,0.8025,0.45957603442668915,0.851,0.9229959999999999,4.991407505161286e-05
10,0.477333918094635,0.8185,0.4291756739616394,0.855,0.9300320000000001,4.989126813277546e-05
11,0.4663844840526581,0.82675,0.43881141185760497,0.85,0.924048,4.986578643652269e-05
12,0.46130312490463254,0.8265,0.43518878841400144,0.848,0.923324,4.983763275720971e-05
13,0.4534467484951019,0.83575,0.42780589056015017,0.845,0.928324,4.9806810182204715e-05
14,0.44892991542816163,0.83275,0.4066452975273132,0.878,0.93956,4.977332209155037e-05
15,0.44292356944084166,0.83975,0.40829036164283755,0.87,0.94106,4.9737172157593216e-05
16,0.43992456412315367,0.84525,0.4283620319366455,0.851,0.9368799999999999,4.969836434458088e-05
17,0.4348926205635071,0.85,0.4064948275089264,0.881,0.9425720000000001,4.965690290822737e-05
18,0.42825414299964903,0.8535,0.42129226112365725,0.87,0.944108,4.961279239524642e-05
19,0.42705387306213377,0.84975,0.41272676515579226,0.877,0.9455000000000001,4.956603764285288e-05
20,0.4250867350101471,0.8535,0.4097447640895843,0.866,0.938096,4.951664377823219e-05
21,0.4193821334838867,0.85975,0.3926842424869537,0.883,0.9479120000000001,4.946461621797824e-05
22,0.41257811546325684,0.8635,0.40034119653701783,0.868,0.943552,4.940996066749931e-05
23,0.4070671935081482,0.86225,0.3863942300081253,0.885,0.951184,4.935268312039243e-05
24,0.4018360307216644,0.865,0.39695157742500303,0.871,0.9441,4.929278985778609e-05
25,0.40671770000457763,0.86475,0.4267545095682144,0.863,0.943276,4.923028744765147e-05
26,0.40768196439743043,0.8665,0.4049811692237854,0.866,0.9466720000000001,4.9165182744082176e-05
27,0.40057113075256345,0.872,0.4136206607818603,0.864,0.9488080000000001,4.909748288654263e-05
28,0.39542639899253845,0.87575,0.4242298369407654,0.862,0.948352,4.902719529908511e-05
29,0.3894405715465546,0.8815,0.4256780846118927,0.859,0.947708,4.895432768953565e-05
30,0.3875253291130066,0.87575,0.39117438936233523,0.88,0.9521479999999999,4.8878888048648786e-05
31,0.39570306658744814,0.87975,0.40148622274398804,0.874,0.9491439999999999,4.880088464923127e-05
32,0.3922776129245758,0.8805,0.37651399993896484,0.886,0.95374,4.872032604523486e-05
33,0.37705774784088136,0.89,0.39416730189323423,0.872,0.9498120000000001,4.86372210708183e-05
34,0.38845216822624207,0.87675,0.39477505230903626,0.873,0.9506919999999999,4.855157883937853e-05
35,0.37947984898090364,0.88875,0.39117449378967284,0.883,0.9510000000000001,4.846340874255135e-05
36,0.3806810584068298,0.88475,0.3908031903505325,0.88,0.951748,4.837272044918144e-05
