epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.6774103069305419,0.6015,0.6248732109069824,0.667,0.719888,5e-05
2,0.6535755634307862,0.6275,0.6208440427780151,0.673,0.733924,4.999865664945505e-05
3,0.6365230586528778,0.65425,0.6043480334281921,0.679,0.7672399999999999,4.999462674513372e-05
4,0.5704867036342621,0.73975,0.521193612575531,0.793,0.8919239999999999,4.998791072896043e-05
5,0.5142846262454986,0.79275,0.417084463596344,0.851,0.9350759999999999,4.997850933742203e-05
6,0.48603942966461183,0.8085,0.41481693172454837,0.868,0.9375519999999999,4.996642360148706e-05
7,0.46962877345085147,0.8275,0.4012671175003052,0.867,0.945716,4.9951654846492654e-05
8,0.45400454092025755,0.83075,0.381640202999115,0.881,0.95161,4.993420469199922e-05
9,0.45086137342453003,0.836,0.37827393436431883,0.881,0.957324,4.991407505161286e-05
10,0.4325741415023804,0.853,0.3677374396324158,0.885,0.961128,4.989126813277546e-05
11,0.43191707944869995,0.84175,0.36452646160125735,0.89,0.965056,4.986578643652269e-05
12,0.40997003769874574,0.862,0.3840109100341797,0.883,0.962568,4.983763275720971e-05
13,0.40413423895835876,0.869,0.36476071643829344,0.893,0.965508,4.9806810182204715e-05
14,0.4006661472320557,0.869,0.3714827842712402,0.897,0.966024,4.977332209155037e-05
15,0.4003683078289032,0.87,0.35360022592544554,0.901,0.9657320000000001,4.9737172157593216e-05
16,0.39577287530899047,0.87425,0.37294650983810423,0.889,0.9645360000000001,4.969836434458088e-05
17,0.3921804506778717,0.87525,0.3429957551956177,0.906,0.969916,4.965690290822737e-05
18,0.39364212226867673,0.8715,0.3617829713821411,0.894,0.9680880000000001,4.961279239524642e-05
19,0.39036491537094115,0.88,0.36186784625053403,0.907,0.970568,4.956603764285288e-05
20,0.38595964407920835,0.88075,0.3435620858669281,0.912,0.969708,4.951664377823219e-05
21,0.3765829830169678,0.88375,0.3619339799880981,0.886,0.971244,4.946461621797824e-05
22,0.37163314104080203,0.88675,0.33557135152816775,0.913,0.974772,4.940996066749931e-05
23,0.36799803519248964,0.89075,0.3404346833229065,0.917,0.974188,4.935268312039243e-05
24,0.3741522468328476,0.886,0.3532971053123474,0.902,0.9681,4.929278985778609e-05
25,0.3657525006532669,0.897,0.3339650073051453,0.91,0.976996,4.923028744765147e-05
26,0.36882125091552737,0.8955,0.3422664384841919,0.899,0.9767040000000001,4.9165182744082176e-05
27,0.3599140045642853,0.89825,0.33974792337417603,0.904,0.973436,4.909748288654263e-05
28,0.3489489398002624,0.90725,0.3353207898139954,0.921,0.973512,4.902719529908511e-05
29,0.3590274085998535,0.9015,0.3721764464378357,0.893,0.974492,4.895432768953565e-05
30,0.353212783575058,0.90575,0.3309506368637085,0.913,0.974064,4.8878888048648786e-05
31,0.3568309305906296,0.902,0.3546525249481201,0.904,0.9682839999999999,4.880088464923127e-05
32,0.3541570105552673,0.907,0.35287688827514646,0.899,0.9732240000000001,4.872032604523486e-05
33,0.34364512526988983,0.913,0.32972284364700316,0.918,0.975072,4.86372210708183e-05
34,0.3458841328620911,0.9105,0.3319395484924316,0.906,0.9750920000000001,4.855157883937853e-05
35,0.34356099331378936,0.91175,0.34293081855773927,0.909,0.974008,4.846340874255135e-05
36,0.34711199200153353,0.90775,0.33178216648101805,0.914,0.976148,4.837272044918144e-05
37,0.3396960554122925,0.912,0.3337112066745758,0.909,0.9787480000000001,4.827952390426216e-05
38,0.3410394406318665,0.91275,0.31374772381782534,0.918,0.981448,4.818382932784488e-05
39,0.3308976888656616,0.91875,0.32483023405075073,0.915,0.980132,4.808564721391827e-05
40,0.343523113489151,0.91475,0.32243689203262327,0.913,0.9789080000000001,4.798498832925754e-05
41,0.33535040760040286,0.92175,0.3177506809234619,0.919,0.98112,4.788186371224372e-05
42,0.32239758265018464,0.9295,0.34183602905273436,0.913,0.97488,4.777628467165318e-05
43,0.32873000419139864,0.9185,0.3165260758399963,0.919,0.980748,4.7668262785417475e-05
44,0.32961653316020967,0.91925,0.33454739665985106,0.919,0.977816,4.755780989935374e-05
45,0.321552206158638,0.92625,0.33502956008911133,0.91,0.9763919999999999,4.744493812586561e-05
46,0.32932247483730315,0.92275,0.3213743827342987,0.921,0.9773400000000001,4.7329659842615e-05
47,0.3172532116174698,0.93125,0.31070412158966065,0.928,0.9826159999999999,4.721198769116475e-05
48,0.31921137392520904,0.92575,0.31546957206726073,0.928,0.98062,4.7091934575592297e-05
49,0.3160053827762604,0.92925,0.31891898560523985,0.927,0.980256,4.696951366107465e-05
50,0.3153357948064804,0.933,0.3071367318630219,0.932,0.9821479999999999,4.684473837244464e-05
51,0.3171818826198578,0.92425,0.30997909617424013,0.931,0.982536,4.6717622392718744e-05
52,0.3093324505090714,0.9345,0.31635760617256165,0.92,0.98204,4.6588179661596617e-05
53,0.3139502139091492,0.93225,0.3127847919464111,0.925,0.9831799999999999,4.645642437393241e-05
54,0.3129621658325195,0.9345,0.3386709977388382,0.92,0.977568,4.6322370978178164e-05
55,0.30842663049697877,0.94075,0.32028053426742553,0.924,0.98142,4.6186034174799365e-05
56,0.30762561595439913,0.93725,0.3163415176868439,0.93,0.980284,4.604742891466288e-05
57,0.2986908127069473,0.94075,0.33127943086624145,0.923,0.979,4.590657039739743e-05
58,0.30477884781360626,0.9385,0.31846648025512697,0.933,0.9817039999999999,4.5763474069726755e-05
59,0.2982571212053299,0.941,0.32075853300094603,0.926,0.979056,4.5618155623775743e-05
60,0.29202404057979586,0.949,0.32257593727111816,0.926,0.981468,4.547063099534957e-05
61,0.297755158662796,0.94025,0.3279673504829407,0.917,0.9780760000000001,4.5320916362186205e-05
62,0.29503213429450986,0.93925,0.3158459734916687,0.932,0.9793839999999999,4.51690281421823e-05
63,0.3030719176530838,0.93975,0.31950568294525145,0.926,0.981272,4.50149829915928e-05
64,0.300203520655632,0.9455,0.34011106157302856,0.917,0.9784,4.48587978032044e-05
65,0.28867232966423034,0.94775,0.3168214786052704,0.927,0.9809,4.470048970448307e-05
66,0.2934369297027588,0.9435,0.3252946891784668,0.924,0.979696,4.454007605569578e-05
67,0.287767112493515,0.949,0.3227175621986389,0.921,0.98318,4.437757444800683e-05
68,0.28383129799365997,0.95475,0.33176901054382324,0.922,0.980268,4.421300270154873e-05
69,0.29433456432819366,0.94225,0.32701754713058473,0.929,0.981424,4.404637886346802e-05
70,0.28731424450874327,0.9515,0.3235469303131103,0.917,0.9821240000000001,4.387772120594625e-05
71,0.2860933990478516,0.9505,0.3373056640625,0.923,0.978492,4.370704822419615e-05
72,0.27838997936248777,0.9525,0.32280055141448977,0.927,0.981556,4.353437863443348e-05
73,0.29154903876781463,0.94475,0.32894655656814575,0.922,0.979268,4.3359731371824576e-05
74,0.2859582378864288,0.951,0.3146210930347443,0.929,0.9832599999999999,4.3183125588409867e-05
