lens,model,matched_efficiency,ci_low,ci_high,n,effective_sample_size
SIS,pi_resnet,0.4733487534373768,0.45272470739312143,0.49698873059403886,1647,1155.5192182996673
SIS,cqt_deit,0.30399982521545243,0.2763050011540653,0.3327251032231351,1647,1155.5192182996673
PM,pi_resnet,0.2532199636916037,0.2364659661778572,0.27226547858161143,1643,1467.5524920221146
PM,cqt_deit,0.19184461716335183,0.17385594925929276,0.20864486763134643,1643,1467.5524920221146
