lens,model,rho1_left,rho1_right,rho2_left,rho2_right,n,detected,efficiency,ci_low,ci_high
SIS,cqt_deit,61.961,91.916,5.553999999999999,49.737,91,8,0.08791208791208792,0.045220207808304075,0.16398638883637745
SIS,cqt_deit,61.961,91.916,49.737,81.116,90,33,0.36666666666666664,0.27447254779029884,0.46977695236018824
SIS,cqt_deit,61.961,91.916,81.116,122.832,64,33,0.515625,0.39581601478580125,0.6336644833456737
SIS,cqt_deit,61.961,91.916,122.832,209.919,39,12,0.3076923076923077,0.18565932306911137,0.4642125437414931
SIS,cqt_deit,61.961,91.916,209.919,1581.199,9,0,0.0,0.0,0.2991450484195441
SIS,cqt_deit,91.916,147.773,5.553999999999999,49.737,40,2,0.05,0.013820667386148344,0.16503877369140962
SIS,cqt_deit,91.916,147.773,49.737,81.116,82,22,0.2682926829268293,0.18436120492201502,0.3729622548368121
SIS,cqt_deit,91.916,147.773,81.116,122.832,135,66,0.4888888888888889,0.40604784868040783,0.5723447724755373
SIS,cqt_deit,91.916,147.773,122.832,209.919,91,50,0.5494505494505495,0.44729289373397435,0.6476023146686639
SIS,cqt_deit,91.916,147.773,209.919,1581.199,29,6,0.20689655172413793,0.09846070197841039,0.38390090403867905
SIS,cqt_deit,147.773,234.293,5.553999999999999,49.737,22,0,0.0,0.0,0.14865487460862087
SIS,cqt_deit,147.773,234.293,49.737,81.116,38,4,0.10526315789473684,0.04170257347553526,0.24130521722887316
SIS,cqt_deit,147.773,234.293,81.116,122.832,73,21,0.2876712328767123,0.19651731621782964,0.40005463236611083
SIS,cqt_deit,147.773,234.293,122.832,209.919,141,92,0.6524822695035462,0.5707840917341394,0.7260922332497983
SIS,cqt_deit,147.773,234.293,209.919,1581.199,61,28,0.45901639344262296,0.3401293229385576,0.5827595186924353
SIS,cqt_deit,234.293,1304.644,5.553999999999999,49.737,7,0,0.0,5.551115123125783e-17,0.35433043506668743
SIS,cqt_deit,234.293,1304.644,49.737,81.116,16,1,0.0625,0.01111934476464252,0.28328737570298945
SIS,cqt_deit,234.293,1304.644,81.116,122.832,22,4,0.18181818181818182,0.07306884583422052,0.38516607437126543
SIS,cqt_deit,234.293,1304.644,122.832,209.919,79,42,0.5316455696202531,0.4227140939927444,0.6376421584342223
SIS,cqt_deit,234.293,1304.644,209.919,1581.199,212,118,0.5566037735849056,0.4893137079186866,0.6218790172006219
