lens,model,n_common_support,common_cells,weighted_efficiency,weighted_mean_score,unweighted_efficiency_common_support
SIS,pi_resnet,1647,53,0.4733487534373768,0.7321359570482656,0.5421979356405586
SIS,cqt_deit,1647,53,0.30399982521545243,0.8173887428154296,0.33879781420765026
PM,pi_resnet,1643,53,0.2532199636916037,0.8770353018521694,0.2325015216068168
PM,cqt_deit,1643,53,0.19184461716335183,0.853857521299383,0.17346317711503348
