epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.6756622862815856,0.5965,0.6352797284126281,0.641,0.7040279999999999,5e-05
2,0.6450380079746246,0.6505,0.6247163753509521,0.666,0.7491559999999999,4.999865664945505e-05
3,0.6211237759590149,0.68125,0.5317424900531769,0.78,0.865116,4.999462674513372e-05
4,0.5506299831867218,0.76675,0.45667069149017336,0.839,0.921528,4.998791072896043e-05
5,0.5098389201164245,0.78525,0.451851731300354,0.838,0.9225320000000001,4.997850933742203e-05
6,0.4953233413696289,0.80925,0.430908616065979,0.851,0.938876,4.996642360148706e-05
7,0.47600018525123594,0.81875,0.44062347078323366,0.845,0.9226719999999999,4.9951654846492654e-05
8,0.4563507704734802,0.82875,0.4014732222557068,0.863,0.94642,4.993420469199922e-05
9,0.44889831423759463,0.83175,0.39006589317321777,0.887,0.954992,4.991407505161286e-05
10,0.4378951096534729,0.8425,0.4099318504333496,0.861,0.9398,4.989126813277546e-05
11,0.4254431800842285,0.853,0.41095532751083375,0.857,0.948064,4.986578643652269e-05
12,0.429578254699707,0.84775,0.39329583740234375,0.869,0.953072,4.983763275720971e-05
13,0.42336904191970826,0.8545,0.4030830612182617,0.87,0.951896,4.9806810182204715e-05
14,0.4185679125785828,0.857,0.3972324395179749,0.871,0.948216,4.977332209155037e-05
15,0.41331343483924865,0.866,0.3607404398918152,0.897,0.964896,4.9737172157593216e-05
16,0.4041436696052551,0.8655,0.3841086759567261,0.882,0.9521520000000001,4.969836434458088e-05
17,0.4012287676334381,0.87475,0.37340407276153564,0.886,0.959912,4.965690290822737e-05
18,0.4042414493560791,0.869,0.3610520874261856,0.898,0.963912,4.961279239524642e-05
19,0.39325721907615663,0.87375,0.37260597133636475,0.888,0.962064,4.956603764285288e-05
20,0.39527522611618043,0.87575,0.3538199768066406,0.896,0.967192,4.951664377823219e-05
21,0.39550793027877806,0.87425,0.3612829313278198,0.889,0.962508,4.946461621797824e-05
22,0.3883617296218872,0.88225,0.3587565042972565,0.895,0.967852,4.940996066749931e-05
23,0.38241799926757813,0.88575,0.3713865871429443,0.885,0.9636959999999999,4.935268312039243e-05
24,0.3774802129268646,0.8825,0.3660341078042984,0.895,0.9616480000000001,4.929278985778609e-05
25,0.3796219973564148,0.8845,0.3646101496219635,0.902,0.96574,4.923028744765147e-05
26,0.3721101059913635,0.89125,0.3463207671642303,0.897,0.970124,4.9165182744082176e-05
27,0.3812326726913452,0.88875,0.35715708816051484,0.9,0.9664280000000001,4.909748288654263e-05
28,0.37232883739471434,0.89425,0.35566742515563965,0.9,0.9684360000000001,4.902719529908511e-05
29,0.3700040967464447,0.8935,0.3615425623655319,0.895,0.96194,4.895432768953565e-05
30,0.36061132979393007,0.89575,0.3619976760149002,0.898,0.965408,4.8878888048648786e-05
31,0.3712625607252121,0.891,0.3606362180709839,0.899,0.963324,4.880088464923127e-05
32,0.36424034333229066,0.89325,0.3504466998577118,0.907,0.9695200000000002,4.872032604523486e-05
33,0.36062081789970396,0.90025,0.3410494439601898,0.918,0.9714480000000001,4.86372210708183e-05
34,0.353878111243248,0.9065,0.35518427002429964,0.9,0.9716400000000001,4.855157883937853e-05
35,0.3532028257846832,0.904,0.3468037757873535,0.906,0.968524,4.846340874255135e-05
36,0.34889666771888733,0.904,0.3544498757123947,0.902,0.966776,4.837272044918144e-05
37,0.35175024139881134,0.90725,0.3410179740190506,0.904,0.972172,4.827952390426216e-05
38,0.3468710584640503,0.9045,0.34037090361118316,0.903,0.972476,4.818382932784488e-05
39,0.35246599006652835,0.91075,0.36949920642375944,0.895,0.96918,4.808564721391827e-05
40,0.3404161932468414,0.9145,0.33177690649032593,0.912,0.973804,4.798498832925754e-05
41,0.34745806181430816,0.91,0.32639288806915284,0.919,0.977052,4.788186371224372e-05
42,0.3327746878862381,0.9175,0.35399053382873535,0.902,0.9707439999999999,4.777628467165318e-05
43,0.3387146289348602,0.91475,0.3392324585914612,0.926,0.971676,4.7668262785417475e-05
44,0.33914303994178774,0.9155,0.33269589030742647,0.923,0.973476,4.755780989935374e-05
45,0.33869462394714356,0.91475,0.33739091336727145,0.909,0.9719720000000001,4.744493812586561e-05
46,0.3389269136190414,0.91475,0.3736661341190338,0.882,0.967988,4.7329659842615e-05
47,0.3383859391212463,0.91125,0.34968153059482576,0.907,0.9703760000000001,4.721198769116475e-05
48,0.32725456583499907,0.92025,0.3364783463478088,0.914,0.97288,4.7091934575592297e-05
49,0.33019391119480135,0.9185,0.3382160470485687,0.917,0.9711799999999999,4.696951366107465e-05
50,0.3314040334224701,0.92,0.37189716958999636,0.89,0.970532,4.684473837244464e-05
51,0.326578577876091,0.922,0.33716941785812377,0.913,0.97292,4.6717622392718744e-05
52,0.3258944300413132,0.9225,0.343105815410614,0.908,0.971684,4.6588179661596617e-05
